index,Tweet,Sentiment_llm
30873,"Carpe Diem,  Pluk de dag voordat je zelf in een vaas eindigt. Pick the day before you end in a vase yourself. (Dutch saying by Loesje)",0
5648,Deputy Crime Minister & Minister of Journalism (or is it finance)/ Vice-ministre de la criminalité. Illiberal MP. PM hopeful. #parody,0
26648,We Support 🇺🇦,1
6455,"Pro-white Conservative entrepreneur 
#God #USA #Constitution",0
21885,Fuck Russia,-1
3453,💥💥💥The Best is Yet to Come💥💥💥,0
20577,"#укртві
Welcome to my world 🤪",0
10521,🇺🇦❤🙏🏻 #StandWithUkraine,1
30048,World News Geeza,0
28472,WE CAN MAKE LEBANON GREAT AGAIN,0
7409,"Free thinking, raw, unedited, hates censorship, stands firm for human and animal rights, prepared to defend them. on Telegram https://t.co/GGpWWNKIOj…",0
29006,"44er-Kriegskind, Sozialarbeiter, Psychologe, Rentner. Liebt Menschen, gutes Essen, Ironie, Satire und absurde Zuspitzungen. No Nazis! Aber: Terfs Welcome!",0
2442,"Soziologe mit Turnschuh-Diplom | Arbeiterkind | privat, sonst Kommunikation @BKKDV | #LongCOVID aus Gründen | Beach Ultimate | analoge Fotografie | #Vinyl | SCF",0
18725,"Bachelor degree at @ULBruxelles 🇧🇪 Doctor degree at @toulouseinp 🇫🇷   
Knowledge Management, Imperfect Knowledge Management & TRIZ https://t.co/fdseVflDJc",0
33651,"Public policy& history wonk, #Waxman #HouseOversight alum, progressive Virginia Dem, civil& #disabilityrights advocate, #Mets fan. Views=mine alone (He/Him)",0
26779,Toningenieur und Gewerkschafter,0
24386,"Leibniz-Institut für jüdische Geschichte und Kultur – Simon Dubnow, Presse- und Öffentlichkeitsarbeit; Impressum: https://t.co/lAElcxkIKD",0
15020,"Commodity trader, #SlavaUkraini, Trump, Israel/Bibi, Brexit, Bolsonaro. Film Noir, Westerns, WWII & comedies. Smooth Jazz, Swing & Disco. Classic cars",0
26447,"TSAR EVENTS PANAMA DMC & PCO is Destination Management Company and Professional Congress Organizer based in Panama City, Republic of Panama",0
8201,"A la mer, à la ville, à la Campagne.
Ex-élu. Le bon sens avant tout ! 
Membre pionnier de #Reconquête !",0
6923,International World News Headlines Daily!,0
2016,"Agence de presse nationale ukrainienne 

Membre des réseaux d’alliance d'agences de presse de la Mer noire (AAPNNM) et européenne (EANA)",0
14353,💯First #PlayToEarnGame from @Pandemic_Games_ 🔝🔝Play and earn🤑🤑 Join us https://t.co/FGY6RUO3rw🚀🚀🚀,0
4266,"Journalist/Documentary maker. Ukraine specialist.
Data expert (inc. Covid-19). Media trainer. Sports commentator.

Buy me a coffee?
https://t.co/f2ANNwACT4",0
31910,Проходьте мимо. Це не основний профіль. Криза середнього віку. Лайкаю чужі дупи. Дивлюсь порно. Вакцинований.,0
12150,"Trauma/Critical Care, Bariatric, Gen Surg, Military(ret) Liberal, Heterodox, Dad to twin terrors! No patience for right-wing fascists OR left-wing totalitarians",0
24397,"künstliche Intelligenz ist besser, als natürliche Dummheit.",0
15926,"Vegetariano, insegno Filosofia teoretica nel Dip. di Scienze Umanistiche dell’Università di Catania. Scrivo sul tempo, la mente, l'IA, i paganesimi, l'animalità",0
30391,"ORIENTACIÓN NUTRICIONAL.
La naturaleza provee al hombre, para gozar de excelente salud a través del conocimiento de la nutrición.Virtud que deriva n Sanar.",0
12309,"Drummer of Wolfgang, Lokomotiv, 3 Headed Dog and the Mellow Dees. WOLFS DEN RADIO SHOW podcast on Spotify! 420. Bernie Sanders ✊🏼 FC Barcelona ⚽️ SPREAD LOVE.",0
15488,#fakenews (the real ones and the Truth marked so) ARE the new fog of war. (Re)tweets about military /security issues and... life (mostly from Earth)...,0
21741,Decent human somewhere on Earth 🌻not a bot. Don’t like vatniks. Hate the war! #SlavaUkraini #ArmUkraineNow #StandWithUkraine 🇺🇦💛💙🏳️‍🌈,1
29884,"любіть Україну, як сонце любіть || лесбійка || #укртві",1
